# Simulation 1 (Data loaded from a file)
# 1236 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Mass (g),Wind velocity (m/s),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,90.012,3.869e4,2.315,334.866,0.007
0.01,0,0.003,0.003,0.008,89.954,3.869e4,2.297,334.866,0.007
0.02,2.95e-4,0.075,0.075,0.008,88.121,3.868e4,2.278,334.866,0.007
0.03,0.002,0.262,0.262,0.008,83.365,3.868e4,2.259,334.866,0.007
0.039,0.005,0.527,0.527,0.008,76.776,3.867e4,2.242,334.866,0.007
0.049,0.013,0.945,0.945,0.008,66.979,3.866e4,2.223,334.866,0.007
# Event LIFTOFF occurred at t=0.059 seconds
0.059,0.025,1.508,1.508,0,56.093,3.865e4,2.246,334.866,0.008
0.069,0.043,2.155,2.155,0,46.524,3.863e4,2.274,334.866,0.009
0.079,0.068,2.822,2.822,0,39.19,3.861e4,2.301,334.866,0.011
0.089,0.1,3.51,3.51,0,33.575,3.859e4,2.329,334.866,0.013
0.099,0.138,4.219,4.219,0,29.164,3.858e4,2.357,334.866,0.014
0.109,0.184,4.95,4.95,0,25.669,3.856e4,2.377,334.865,0.016
0.119,0.237,5.701,5.701,0,22.804,3.854e4,2.397,334.865,0.018
0.129,0.298,6.473,6.473,0,20.455,3.852e4,2.417,334.865,0.021
0.141,0.381,7.428,7.428,0,18.163,3.85e4,2.441,334.865,0.023
0.151,0.46,8.231,8.231,0,16.616,3.848e4,2.458,334.864,0.026
0.161,0.546,9.026,9.026,0,15.183,3.846e4,2.448,334.864,0.028
0.171,0.64,9.812,9.812,0,13.98,3.844e4,2.439,334.864,0.03
0.181,0.742,10.588,10.588,0,12.892,3.842e4,2.429,334.863,0.032
0.19,0.846,11.314,11.314,0,12.089,3.841e4,2.42,334.863,0.035
0.199,0.949,11.985,11.985,0,11.402,3.839e4,2.411,334.862,0.037
# Event LAUNCHROD occurred at t=0.208 seconds
0.208,1.051,12.612,12.612,0.134,10.886,3.837e4,2.425,334.862,0.038
0.22,1.215,13.542,13.542,0.142,10.256,3.835e4,2.449,334.861,0.041
0.224,1.268,13.825,13.825,0.144,10.084,3.834e4,2.456,334.861,0.042
0.23,1.349,14.25,14.25,0.147,9.798,3.833e4,2.467,334.861,0.043
0.238,1.475,14.886,14.886,0.152,9.454,3.832e4,2.483,334.86,0.045
0.251,1.675,15.839,15.839,0.159,8.938,3.829e4,2.5,334.86,0.048
0.271,1.999,17.267,17.267,0.159,7.964,3.826e4,2.425,334.858,0.052
0.3,2.536,19.404,19.404,0.157,6.761,3.82e4,2.315,334.856,0.058
0.344,3.459,22.602,22.602,0.164,5.787,3.813e4,2.314,334.852,0.068
0.373,4.139,24.689,24.689,0.16,5.157,3.807e4,2.269,334.85,0.074
0.416,5.271,27.817,27.817,0.151,4.469,3.8e4,2.232,334.845,0.083
0.466,6.753,31.444,31.444,0.137,3.953,3.791e4,2.251,334.84,0.094
0.516,8.416,35.075,35.075,0.109,3.495,3.782e4,2.263,334.833,0.105
0.566,10.26,38.709,38.709,0.079,3.266,3.774e4,2.359,334.826,0.116
0.616,12.287,42.345,42.345,0.021,2.922,3.765e4,2.374,334.818,0.127
0.666,14.495,45.984,45.984,0.065,2.578,3.756e4,2.329,334.809,0.138
0.716,16.885,49.624,49.624,0.18,2.235,3.747e4,2.245,334.8,0.148
0.766,19.457,53.267,53.267,0.305,1.948,3.739e4,2.233,334.789,0.159
0.816,22.212,56.912,56.912,0.453,1.719,3.73e4,2.22,334.779,0.17
0.866,25.149,60.558,60.558,0.628,1.432,3.721e4,2.187,334.767,0.181
0.916,28.268,64.206,64.206,0.812,1.261,3.713e4,2.24,334.755,0.192
0.966,31.569,67.854,67.854,1.022,1.089,3.704e4,2.276,334.742,0.203
1.016,35.053,71.504,71.504,1.272,0.859,3.695e4,2.243,334.728,0.214
1.066,38.72,75.154,75.154,1.563,0.573,3.686e4,2.121,334.714,0.225
1.116,42.568,78.804,78.805,1.877,0.286,3.678e4,1.989,334.698,0.236
1.166,46.6,82.455,82.456,2.174,0.115,3.669e4,1.992,334.683,0.246
1.216,50.814,86.105,86.107,2.483,0.044,3.66e4,1.987,334.666,0.257
1.266,55.21,89.755,89.757,2.811,0.229,3.651e4,1.919,334.649,0.268
1.316,59.789,93.404,93.407,3.136,0.401,3.643e4,1.866,334.631,0.279
1.366,64.551,97.051,97.056,3.465,0.63,3.634e4,1.763,334.612,0.29
1.416,69.495,100.698,100.704,3.76,0.745,3.625e4,1.71,334.592,0.301
1.466,74.621,104.342,104.351,4.046,0.859,3.616e4,1.589,334.572,0.312
1.516,79.929,107.985,107.996,4.275,0.974,3.608e4,1.509,334.551,0.323
1.566,85.419,111.626,111.64,4.399,0.917,3.599e4,1.579,334.53,0.334
1.616,91.091,115.265,115.282,4.456,0.859,3.59e4,1.654,334.507,0.345
1.666,96.945,118.902,118.923,4.405,0.745,3.582e4,1.844,334.484,0.356
1.716,102.981,122.537,122.561,4.309,0.63,3.573e4,1.979,334.46,0.367
1.766,109.199,126.17,126.198,4.217,0.573,3.564e4,1.938,334.436,0.378
1.816,115.598,129.801,129.833,4.042,0.458,3.555e4,1.967,334.411,0.388
1.866,122.179,133.43,133.465,3.81,0.286,3.547e4,2.01,334.385,0.399
1.916,128.941,137.056,137.094,3.549,0.172,3.538e4,2.023,334.358,0.41
1.966,135.885,140.679,140.72,3.264,0.044,3.529e4,2.032,334.331,0.421
2.016,143.009,144.299,144.343,2.984,0.057,3.52e4,1.999,334.303,0.432
2.066,150.315,147.916,147.963,2.667,0.229,3.512e4,2.064,334.274,0.443
2.116,157.801,151.53,151.578,2.433,0.286,3.503e4,1.99,334.245,0.454
2.166,165.468,155.139,155.189,2.263,0.286,3.494e4,1.869,334.214,0.465
2.216,173.315,158.744,158.796,2.105,0.344,3.485e4,1.837,334.183,0.475
2.237,176.641,160.246,160.299,2.049,0.344,3.482e4,1.845,334.17,0.48
2.268,181.69,162.498,162.551,1.986,0.344,3.476e4,1.859,334.15,0.487
2.315,189.395,165.869,165.924,1.944,0.401,3.469e4,1.895,334.12,0.497
2.365,197.778,169.454,169.51,1.975,0.344,3.46e4,1.954,334.087,0.508
2.415,206.34,173.03,173.087,2.128,0.286,3.452e4,1.952,334.053,0.518
2.465,215.081,176.597,176.656,2.402,0.172,3.443e4,1.872,334.019,0.529
2.515,223.999,180.154,180.216,2.704,0.057,3.435e4,1.837,333.984,0.54
2.565,233.096,183.703,183.766,2.989,0.02,3.426e4,1.884,333.948,0.55
2.615,242.369,187.241,187.307,3.285,0.115,3.418e4,1.904,333.911,0.561
2.665,251.82,190.768,190.838,3.498,0.172,3.409e4,2.018,333.874,0.572
2.715,261.446,194.286,194.359,3.683,0.172,3.401e4,2.084,333.836,0.582
2.765,271.248,197.793,197.87,3.828,0.229,3.393e4,2.081,333.798,0.593
2.815,281.225,201.289,201.37,3.806,0.229,3.384e4,2.201,333.758,0.604
2.865,291.377,204.774,204.859,3.731,0.172,3.376e4,2.254,333.718,0.614
2.905,299.579,207.54,207.628,3.67,0.172,3.369e4,2.196,333.686,0.622
2.955,310.043,210.998,211.09,3.437,0.057,3.361e4,2.252,333.645,0.633
3.005,320.679,214.431,214.527,3.226,0.032,3.353e4,2.196,333.603,0.643
3.055,331.485,217.839,217.938,2.965,0.034,3.345e4,2.19,333.56,0.654
3.105,342.462,221.221,221.322,2.662,0.115,3.337e4,2.282,333.517,0.664
3.155,353.607,224.576,224.68,2.502,0.172,3.328e4,2.262,333.473,0.674
3.205,364.919,227.905,228.011,2.445,0.172,3.32e4,2.233,333.429,0.684
3.255,376.397,231.207,231.315,2.485,0.115,3.312e4,2.22,333.383,0.694
3.305,388.039,234.48,234.591,2.656,0.057,3.304e4,2.154,333.338,0.704
3.355,399.845,237.726,237.839,2.879,0.01,3.296e4,2.096,333.291,0.714
3.405,411.812,240.943,241.06,3.065,0.036,3.288e4,2.104,333.244,0.724
3.45,422.719,243.815,243.934,3.184,0.057,3.281e4,2.145,333.201,0.732
3.462,425.649,244.58,244.7,3.235,0.057,3.279e4,2.155,333.189,0.735
3.48,430.062,245.731,245.852,3.264,0.057,3.276e4,2.17,333.172,0.738
3.507,436.72,247.448,247.572,3.293,0.057,3.272e4,2.186,333.146,0.743
3.548,446.793,250.006,250.132,3.311,0.115,3.266e4,2.183,333.106,0.751
3.598,459.372,253.132,253.262,3.279,0.115,3.259e4,2.14,333.057,0.761
3.648,472.106,256.223,256.357,3.103,0.05,3.251e4,2.167,333.006,0.77
3.698,484.994,259.28,259.417,2.889,0.008,3.244e4,2.172,332.956,0.779
3.748,498.033,262.302,262.441,2.694,0.026,3.236e4,2.14,332.904,0.789
3.798,511.223,265.288,265.431,2.571,0.04,3.229e4,2.054,332.852,0.798
3.847,524.562,268.239,268.384,2.358,0.057,3.222e4,2.158,332.8,0.807
3.897,538.047,271.155,271.302,2.299,0.115,3.214e4,2.206,332.747,0.816
3.947,551.676,274.034,274.183,2.352,0.057,3.207e4,2.273,332.693,0.824
3.997,565.449,276.877,277.028,2.506,0.041,3.199e4,2.349,332.639,0.833
4.047,579.363,279.682,279.837,2.804,0.022,3.192e4,2.315,332.584,0.842
4.097,593.417,282.45,282.608,3.076,0.057,3.185e4,2.264,332.529,0.85
4.147,607.608,285.18,285.342,3.061,0.057,3.177e4,2.403,332.473,0.859
4.197,621.934,287.873,288.039,3.1,0.115,3.17e4,2.314,332.416,0.867
4.247,636.395,290.529,290.698,3.081,0.115,3.162e4,2.099,332.359,0.875
4.297,650.987,293.147,293.319,2.778,0.048,3.155e4,2.014,332.302,0.883
4.347,665.709,295.727,295.903,2.29,0.034,3.148e4,2.048,332.244,0.891
4.397,680.559,298.271,298.448,1.921,0.115,3.14e4,2.031,332.185,0.899
4.447,695.535,300.777,300.956,1.686,0.115,3.133e4,2.092,332.126,0.906
4.497,710.636,303.248,303.428,1.938,0.057,3.126e4,1.908,332.067,0.914
4.537,722.652,305.174,305.356,2.171,0.026,3.12e4,1.855,332.02,0.92
4.587,737.97,307.524,307.709,2.264,0.005,3.113e4,1.958,331.959,0.927
4.637,753.402,309.729,309.916,2.464,0.057,3.107e4,1.914,331.898,0.934
4.687,768.941,311.787,311.977,2.472,0.057,3.101e4,1.917,331.837,0.94
4.737,784.578,313.7,313.893,2.269,0.057,3.095e4,1.933,331.776,0.946
4.787,800.308,315.468,315.664,1.961,0.032,3.089e4,1.897,331.714,0.952
4.804,805.676,316.036,316.233,1.827,0.017,3.086e4,1.893,331.693,0.954
4.83,813.746,316.868,317.066,1.591,0.019,3.084e4,1.952,331.661,0.956
4.868,825.889,318.083,318.283,1.346,0.052,3.08e4,1.971,331.613,0.96
4.918,841.832,319.614,319.815,1.231,0.057,3.075e4,1.918,331.55,0.965
4.968,857.85,321.08,321.282,1.227,0.052,3.07e4,1.924,331.487,0.969
5.018,873.939,322.48,322.684,1.337,0.026,3.064e4,1.956,331.424,0.974
5.068,890.097,323.815,324.02,1.5,0.007,3.059e4,2.005,331.36,0.978
5.118,906.319,325.085,325.292,1.645,0.038,3.054e4,2.038,331.296,0.982
5.165,921.707,326.225,326.434,1.711,0.055,3.049e4,2.037,331.236,0.986
5.215,938.046,327.339,327.55,1.67,0.057,3.045e4,1.921,331.171,0.989
5.265,954.439,328.33,328.544,1.355,0.033,3.041e4,1.886,331.107,0.992
5.315,970.877,329.199,329.414,0.89,0.025,3.037e4,1.919,331.042,0.995
5.365,987.356,329.947,330.162,0.465,0.057,3.033e4,2.009,330.977,0.998
5.415,1003.87,330.573,330.789,0.298,0.115,3.029e4,2.093,330.912,1
5.465,1020.412,331.079,331.295,0.455,0.048,3.025e4,2.12,330.847,1.002
5.511,1035.65,331.439,331.656,0.763,0.017,3.021e4,2.096,330.787,1.003
5.561,1052.229,331.703,331.921,0.996,0.057,3.019e4,2.07,330.721,1.004
5.611,1068.818,331.825,332.045,0.929,0.057,3.017e4,2.107,330.656,1.004
5.661,1085.409,331.806,332.027,0.627,0.053,3.015e4,2.126,330.591,1.005
5.711,1101.996,331.647,331.869,0.09,0.016,3.012e4,2.246,330.525,1.004
5.761,1118.572,331.349,331.571,0.223,0.048,3.01e4,2.207,330.46,1.004
5.811,1135.129,330.911,331.133,0.253,0.033,3.008e4,2.027,330.395,1.002
5.861,1151.66,330.334,330.556,0.213,0.006,3.006e4,1.867,330.33,1.001
5.911,1168.16,329.618,329.84,0.228,0.011,3.004e4,1.773,330.265,0.999
5.961,1184.62,328.766,328.988,0.414,0.001,3.002e4,1.826,330.2,0.997
6.013,1201.69,327.736,327.958,0.647,0.021,3e4,1.935,330.133,0.994
6.063,1218.047,326.507,326.728,0.904,0.016,2.999e4,1.958,330.068,0.99
# Event BURNOUT occurred at t=6.088 seconds
6.088,1226.201,325.766,325.987,0.979,0.003,2.999e4,1.93,330.036,0.988
6.126,1238.395,324.596,324.816,0.935,0.004,2.999e4,1.955,329.988,0.985
6.176,1254.586,323.047,323.267,0.844,0.019,2.999e4,1.942,329.924,0.98
6.226,1270.7,321.511,321.73,0.728,0.039,2.999e4,1.847,329.861,0.976
6.276,1286.737,319.987,320.206,0.799,0.024,2.999e4,1.846,329.798,0.971
6.326,1302.699,318.476,318.695,0.92,0.002,2.999e4,1.85,329.735,0.967
6.376,1318.585,316.978,317.196,1.005,0.021,2.999e4,1.826,329.672,0.962
6.425,1334.397,315.492,315.709,1.045,0.032,2.999e4,1.812,329.61,0.958
6.475,1350.134,314.017,314.234,0.973,0.02,2.999e4,1.751,329.548,0.954
6.525,1365.799,312.555,312.77,0.852,0.002,2.999e4,1.676,329.486,0.949
6.575,1381.39,311.103,311.318,0.83,0.005,2.999e4,1.697,329.425,0.945
6.625,1396.909,309.663,309.877,0.901,0.01,2.999e4,1.81,329.364,0.941
6.675,1412.357,308.233,308.446,0.882,0.008,2.999e4,1.85,329.303,0.937
6.725,1427.733,306.813,307.026,0.753,0.018,2.999e4,1.78,329.242,0.933
6.775,1443.038,305.404,305.617,0.662,0.036,2.999e4,1.705,329.182,0.929
6.825,1458.273,304.006,304.218,0.779,0.009,2.999e4,1.789,329.122,0.925
6.875,1473.439,302.617,302.829,0.95,0.029,2.999e4,1.925,329.062,0.921
6.925,1488.535,301.239,301.45,0.933,0.028,2.999e4,1.915,329.003,0.916
6.975,1503.563,299.871,300.081,0.815,0.003,2.999e4,1.836,328.944,0.912
7.025,1518.522,298.512,298.721,0.739,0.012,2.999e4,1.806,328.885,0.909
7.075,1533.414,297.162,297.372,0.742,0.01,2.999e4,1.841,328.826,0.905
7.125,1548.239,295.823,296.031,0.767,0.003,2.999e4,1.884,328.768,0.901
7.175,1562.997,294.493,294.701,0.768,0.002,2.999e4,1.894,328.709,0.897
7.225,1577.688,293.173,293.381,0.776,0.003,2.999e4,1.912,328.652,0.893
7.275,1592.314,291.864,292.071,0.751,0.002,2.999e4,1.896,328.594,0.889
7.325,1606.875,290.565,290.771,0.636,0.027,2.999e4,1.764,328.537,0.885
7.375,1621.371,289.275,289.482,0.611,0.03,2.999e4,1.688,328.48,0.881
7.425,1635.803,287.996,288.202,0.75,0.006,2.999e4,1.763,328.423,0.878
7.475,1650.17,286.726,286.931,0.881,0.04,2.999e4,1.849,328.366,0.874
7.525,1664.475,285.465,285.67,0.871,0.04,2.999e4,1.833,328.31,0.87
7.575,1678.717,284.214,284.418,0.752,0.013,2.999e4,1.745,328.254,0.867
7.625,1692.897,282.971,283.175,0.608,0.022,2.999e4,1.637,328.198,0.863
7.675,1707.014,281.737,281.941,0.561,0.033,2.999e4,1.607,328.142,0.859
7.725,1721.071,280.512,280.716,0.58,0.027,2.999e4,1.609,328.087,0.856
7.775,1735.066,279.296,279.499,0.622,0.013,2.999e4,1.601,328.032,0.852
7.825,1749,278.088,278.29,0.682,0.005,2.999e4,1.603,327.977,0.849
7.875,1762.875,276.888,277.09,0.702,0.013,2.999e4,1.563,327.922,0.845
7.925,1776.689,275.696,275.898,0.696,0.014,2.999e4,1.511,327.868,0.842
7.975,1790.444,274.513,274.714,0.743,0.029,2.999e4,1.548,327.814,0.838
8.025,1804.141,273.337,273.538,0.779,0.041,2.999e4,1.616,327.76,0.835
8.075,1817.778,272.17,272.37,0.662,0.01,2.999e4,1.54,327.706,0.831
8.125,1831.358,271.009,271.209,0.598,0.007,2.999e4,1.537,327.652,0.828
8.175,1844.879,269.857,270.056,0.608,0.004,2.999e4,1.621,327.599,0.825
8.225,1858.344,268.711,268.91,0.53,0.025,2.999e4,1.582,327.546,0.821
8.275,1871.751,267.573,267.772,0.541,0.021,2.999e4,1.623,327.493,0.818
8.325,1885.101,266.442,266.641,0.552,0.017,2.999e4,1.641,327.441,0.815
8.375,1898.395,265.318,265.517,0.574,0.008,2.999e4,1.652,327.388,0.811
8.426,1911.633,264.201,264.4,0.69,0.028,2.999e4,1.785,327.336,0.808
8.476,1924.815,263.092,263.289,0.731,0.042,2.999e4,1.856,327.284,0.805
8.526,1937.942,261.989,262.186,0.776,0.056,2.999e4,1.984,327.233,0.801
8.576,1951.014,260.893,261.089,0.788,0.057,2.999e4,2.138,327.181,0.798
8.626,1964.032,259.803,259.999,0.649,0.017,2.999e4,2.15,327.13,0.795
8.676,1976.995,258.72,258.916,0.476,0.037,2.999e4,2.121,327.079,0.792
8.726,1989.904,257.643,257.838,0.358,0.057,2.999e4,2.117,327.028,0.789
8.776,2002.759,256.572,256.767,0.345,0.057,2.999e4,2.168,326.977,0.786
8.826,2015.561,255.507,255.703,0.437,0.049,2.999e4,2.281,326.927,0.782
8.876,2028.31,254.448,254.644,0.526,0.019,2.999e4,2.343,326.877,0.779
8.926,2041.006,253.396,253.592,0.594,0.006,2.999e4,2.36,326.827,0.776
8.976,2053.65,252.35,252.545,0.666,0.033,2.999e4,2.395,326.777,0.773
9.026,2066.241,251.31,251.505,0.725,0.055,2.999e4,2.449,326.727,0.77
9.076,2078.781,250.276,250.47,0.699,0.048,2.999e4,2.44,326.678,0.767
9.126,2091.269,249.248,249.441,0.628,0.025,2.999e4,2.41,326.629,0.764
9.176,2103.706,248.225,248.418,0.592,0.013,2.999e4,2.452,326.58,0.761
9.226,2116.091,247.208,247.401,0.507,0.016,2.999e4,2.432,326.531,0.758
9.276,2128.426,246.196,246.388,0.422,0.045,2.999e4,2.389,326.482,0.755
9.326,2140.711,245.189,245.382,0.382,0.057,2.999e4,2.366,326.434,0.752
9.376,2152.946,244.188,244.38,0.39,0.054,2.999e4,2.357,326.386,0.749
9.426,2165.13,243.192,243.384,0.461,0.027,2.999e4,2.394,326.338,0.746
9.476,2177.265,242.201,242.393,0.515,0.005,2.999e4,2.387,326.29,0.743
9.526,2189.35,241.216,241.408,0.535,0.006,2.999e4,2.327,326.242,0.74
9.576,2201.386,240.236,240.427,0.579,0.025,2.999e4,2.313,326.195,0.737
9.626,2213.374,239.261,239.452,0.628,0.046,2.999e4,2.331,326.148,0.735
9.676,2225.313,238.291,238.482,0.594,0.036,2.999e4,2.264,326.101,0.732
9.726,2237.203,237.326,237.516,0.538,0.017,2.999e4,2.19,326.054,0.729
9.776,2249.045,236.366,236.556,0.483,0.003,2.999e4,2.127,326.007,0.726
9.826,2260.84,235.41,235.6,0.435,0.02,2.999e4,2.07,325.961,0.723
9.876,2272.586,234.459,234.649,0.433,0.02,2.999e4,2.066,325.914,0.72
9.926,2284.286,233.513,233.702,0.46,0.008,2.999e4,2.093,325.868,0.717
9.976,2295.938,232.571,232.76,0.44,0.014,2.999e4,2.04,325.822,0.715
10.026,2307.543,231.634,231.823,0.371,0.039,2.999e4,1.894,325.777,0.712
10.076,2319.101,230.701,230.891,0.388,0.03,2.999e4,1.854,325.731,0.709
10.126,2330.613,229.773,229.962,0.415,0.017,2.999e4,1.81,325.686,0.706
10.176,2342.079,228.849,229.039,0.471,0.01,2.999e4,1.805,325.641,0.704
10.226,2353.498,227.93,228.119,0.517,0.032,2.999e4,1.795,325.596,0.701
10.276,2364.872,227.016,227.204,0.543,0.046,2.999e4,1.777,325.551,0.698
10.326,2376.2,226.105,226.294,0.582,0.057,2.999e4,1.818,325.506,0.695
10.376,2387.482,225.199,225.387,0.542,0.05,2.999e4,1.775,325.462,0.693
10.426,2398.72,224.297,224.485,0.458,0.015,2.999e4,1.689,325.418,0.69
10.476,2409.912,223.399,223.586,0.39,0.015,2.999e4,1.631,325.373,0.687
10.526,2421.06,222.505,222.692,0.393,0.013,2.999e4,1.684,325.33,0.685
10.576,2432.163,221.615,221.802,0.377,0.019,2.999e4,1.696,325.286,0.682
10.626,2443.221,220.728,220.916,0.368,0.022,2.999e4,1.703,325.242,0.679
10.676,2454.235,219.846,220.033,0.383,0.015,2.999e4,1.739,325.199,0.677
10.726,2465.206,218.968,219.155,0.427,0.007,2.999e4,1.816,325.156,0.674
10.776,2476.132,218.093,218.281,0.474,0.03,2.999e4,1.908,325.113,0.672
10.826,2487.015,217.223,217.41,0.491,0.039,2.999e4,1.967,325.07,0.669
10.876,2497.855,216.356,216.543,0.445,0.019,2.999e4,1.941,325.027,0.667
10.926,2508.651,215.493,215.68,0.374,0.014,2.999e4,1.874,324.985,0.664
10.976,2519.404,214.633,214.82,0.331,0.034,2.999e4,1.847,324.942,0.661
11.026,2530.114,213.777,213.964,0.294,0.051,2.999e4,1.805,324.9,0.659
11.076,2540.782,212.925,213.112,0.302,0.047,2.999e4,1.813,324.858,0.656
11.126,2551.407,212.076,212.263,0.309,0.042,2.999e4,1.792,324.816,0.654
11.176,2561.989,211.231,211.418,0.283,0.052,2.999e4,1.687,324.774,0.651
11.226,2572.53,210.389,210.576,0.316,0.033,2.999e4,1.658,324.733,0.649
11.276,2583.028,209.551,209.738,0.375,4.334e-4,2.999e4,1.664,324.692,0.646
11.326,2593.485,208.716,208.903,0.435,0.033,2.999e4,1.675,324.65,0.644
11.376,2603.9,207.885,208.071,0.491,0.057,2.999e4,1.703,324.609,0.641
11.426,2614.274,207.057,207.243,0.5,0.057,2.999e4,1.682,324.568,0.639
11.476,2624.606,206.232,206.418,0.59,0.115,2.999e4,1.854,324.528,0.636
11.526,2634.897,205.411,205.597,0.655,0.172,2.999e4,2.05,324.487,0.634
11.576,2645.147,204.593,204.778,0.552,0.115,2.999e4,2.014,324.447,0.631
11.626,2655.356,203.779,203.963,0.381,0.01,2.999e4,1.886,324.407,0.629
11.676,2665.525,202.966,203.151,0.239,0.057,2.999e4,1.807,324.367,0.627
11.726,2675.653,202.157,202.342,0.132,0.115,2.999e4,1.753,324.327,0.624
11.776,2685.741,201.35,201.536,0.072,0.172,2.999e4,1.715,324.287,0.622
11.826,2695.788,200.547,200.733,0.11,0.115,2.999e4,1.787,324.247,0.619
11.876,2705.795,199.746,199.933,0.167,0.115,2.999e4,1.829,324.208,0.617
11.926,2715.763,198.949,199.136,0.174,0.115,2.999e4,1.725,324.169,0.615
11.976,2725.69,198.155,198.342,0.214,0.057,2.999e4,1.637,324.13,0.612
12.026,2735.578,197.363,197.551,0.26,0.046,2.999e4,1.532,324.091,0.61
12.076,2745.427,196.575,196.763,0.32,0.006,2.999e4,1.438,324.052,0.607
12.126,2755.236,195.79,195.978,0.43,0.057,2.999e4,1.45,324.013,0.605
12.176,2765.006,195.008,195.196,0.537,0.115,2.999e4,1.494,323.975,0.603
12.226,2774.737,194.229,194.416,0.643,0.229,2.999e4,1.6,323.936,0.6
12.276,2784.429,193.454,193.64,0.683,0.229,2.999e4,1.671,323.898,0.598
12.326,2794.082,192.68,192.866,0.678,0.229,2.999e4,1.748,323.86,0.596
12.376,2803.697,191.91,192.094,0.627,0.172,2.999e4,1.828,323.822,0.593
12.426,2813.273,191.142,191.326,0.528,0.115,2.999e4,1.886,323.785,0.591
12.476,2822.811,190.376,190.56,0.383,0.041,2.999e4,1.891,323.747,0.589
12.526,2832.311,189.613,189.797,0.228,0.057,2.999e4,1.877,323.71,0.587
12.576,2841.772,188.852,189.036,0.097,0.172,2.999e4,1.878,323.672,0.584
12.626,2851.196,188.093,188.278,0.029,0.229,2.999e4,1.821,323.635,0.582
12.676,2860.582,187.336,187.522,0.102,0.286,2.999e4,1.775,323.598,0.58
12.726,2869.93,186.582,186.769,0.118,0.286,2.999e4,1.734,323.561,0.577
12.776,2879.24,185.831,186.018,0.078,0.286,2.999e4,1.696,323.525,0.575
12.826,2888.513,185.082,185.27,0.03,0.172,2.999e4,1.708,323.488,0.573
12.876,2897.748,184.336,184.525,0.193,0.057,2.999e4,1.78,323.452,0.571
12.926,2906.946,183.593,183.782,0.354,0.036,2.999e4,1.835,323.416,0.569
12.976,2916.108,182.852,183.042,0.496,0.115,2.999e4,1.874,323.38,0.566
13.026,2925.232,182.115,182.304,0.58,0.229,2.999e4,1.846,323.344,0.564
13.076,2934.319,181.38,181.568,0.66,0.286,2.999e4,1.886,323.308,0.562
13.126,2943.37,180.648,180.835,0.733,0.344,2.999e4,2.012,323.272,0.56
13.176,2952.384,179.917,180.104,0.691,0.286,2.999e4,2,323.237,0.558
13.226,2961.362,179.19,179.375,0.571,0.229,2.999e4,1.911,323.201,0.555
13.276,2970.303,178.464,178.649,0.446,0.115,2.999e4,1.87,323.166,0.553
13.326,2979.208,177.74,177.925,0.301,0.014,2.999e4,1.81,323.131,0.551
13.376,2988.077,177.018,177.203,0.144,0.115,2.999e4,1.71,323.096,0.549
13.426,2996.91,176.297,176.483,0.016,0.229,2.999e4,1.636,323.061,0.547
13.476,3005.707,175.579,175.766,0.051,0.286,2.999e4,1.625,323.027,0.544
13.526,3014.468,174.862,175.05,0.075,0.286,2.999e4,1.627,322.992,0.542
13.576,3023.193,174.148,174.337,0.035,0.229,2.999e4,1.686,322.958,0.54
13.626,3031.882,173.436,173.626,0.066,0.172,2.999e4,1.819,322.924,0.538
13.676,3040.537,172.727,172.917,0.139,0.115,2.999e4,1.84,322.889,0.536
13.726,3049.155,172.02,172.21,0.221,0.044,2.999e4,1.859,322.855,0.534
13.776,3057.739,171.315,171.506,0.301,0.026,2.999e4,1.869,322.822,0.532
13.826,3066.287,170.613,170.803,0.34,0.057,2.999e4,1.792,322.788,0.529
13.876,3074.8,169.913,170.103,0.377,0.115,2.999e4,1.732,322.754,0.527
13.926,3083.278,169.214,169.404,0.449,0.172,2.999e4,1.79,322.721,0.525
13.976,3091.721,168.518,168.708,0.53,0.229,2.999e4,1.917,322.688,0.523
14.026,3100.13,167.825,168.014,0.568,0.286,2.999e4,2.011,322.655,0.521
14.076,3108.504,167.133,167.321,0.529,0.229,2.999e4,1.993,322.622,0.519
14.126,3116.843,166.443,166.631,0.47,0.172,2.999e4,1.983,322.589,0.517
14.176,3125.148,165.755,165.943,0.439,0.172,2.999e4,2.089,322.556,0.515
14.226,3133.419,165.068,165.256,0.348,0.057,2.999e4,2.082,322.524,0.513
14.276,3141.655,164.383,164.571,0.239,0.016,2.999e4,2.039,322.491,0.511
14.326,3149.857,163.7,163.888,0.147,0.115,2.999e4,2.025,322.459,0.509
14.376,3158.025,163.018,163.207,0.059,0.172,2.999e4,1.988,322.427,0.507
14.426,3166.159,162.338,162.528,0.015,0.229,2.999e4,1.938,322.395,0.504
14.476,3174.259,161.66,161.85,0.079,0.286,2.999e4,1.844,322.363,0.502
14.526,3182.325,160.983,161.174,0.089,0.344,2.999e4,1.808,322.331,0.5
14.576,3190.357,160.308,160.5,0.04,0.286,2.999e4,1.847,322.299,0.498
14.626,3198.356,159.635,159.828,0.05,0.172,2.999e4,1.93,322.268,0.496
14.676,3206.321,158.964,159.158,0.131,0.115,2.999e4,1.956,322.236,0.494
14.726,3214.252,158.295,158.49,0.218,0.025,2.999e4,1.981,322.205,0.492
